descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento com 3 Quartos à Venda, 119m²;Rua Antônio Rodrigues, 120 - Seminário, Curitiba - PR;119;3;3;2;R$ 950.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-119m2-venda-RS950000-id-2555084739/
Apartamento com 2 Quartos à Venda, 65m²;Rua Doutor Alarico Vieira de Alencar, 307 - Bacacheri, Curitiba - PR;65;2;2;1;R$ 425.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento com 2 Quartos à Venda, 105m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;105;2;3;2;R$ 780.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS780000-id-2539630890/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 620.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS620000-id-2554527547/
Apartamento com  Quarto à Venda, 60m²;Rua Governador Agamenon Magalhães, 145 - Cristo Rei, Curitiba - PR;60;1;1;1;R$ 380.000;R$ 434;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cristo-rei-bairros-curitiba-com-garagem-60m2-venda-RS380000-id-2559024758/
Apartamento com 2 Quartos à Venda, 58m²;Rua Laudelino Ferreira Lopes, 385 - Novo Mundo, Curitiba - PR;58;2;2;1;R$ 359.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-58m2-venda-RS359900-id-2556294781/
Apartamento com 2 Quartos à Venda, 121m²;Rua Professor Dario Veloso, 36 - Vila Izabel, Curitiba - PR;121;2;3;2;R$ 1.100.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-121m2-venda-RS1100000-id-2515153879/
Apartamento com 2 Quartos à Venda, 131m²;Rua Comendador Araújo, 279 - Centro, Curitiba - PR;131;2;2;1;R$ 660.000   Preço abaixo do mercado;R$ 800;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-131m2-venda-RS660000-id-2549089278/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.280.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 165.000;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 3 Quartos à Venda, 58m²;Estrada Guilherme Weigert, 2245 - Santa Cândida, Curitiba - PR;58;3;1;1;R$ 230.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-candida-bairros-curitiba-com-garagem-58m2-venda-RS230000-id-2537860287/
Apartamento com 2 Quartos à Venda, 44m²;Rua Maria de Lourdes Kudri, 127 - Barreirinha, Curitiba - PR;44;2;1;--;R$ 140.000;R$ 312;https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreirinha-bairros-curitiba-44m2-venda-RS140000-id-2556381814/
Apartamento com 3 Quartos à Venda, 94m²;Rua Monsenhor Manoel Vicente, 316 - Água Verde, Curitiba - PR;94;3;2;2;R$ 680.000   Preço abaixo do mercado;R$ 530;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS680000-id-2540019474/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 4 Quartos à Venda, 216m²;Rua Lamenha Lins, 601 - Rebouças, Curitiba - PR;216;4;4;1;R$ 680.000   Preço abaixo do mercado;;https://www.vivareal.com.br/imovel/apartamento-4-quartos-reboucas-bairros-curitiba-com-garagem-216m2-venda-RS680000-id-2547201954/
Apartamento com 4 Quartos à Venda, 185m²;Rua Comendador Araújo, 80 - Centro, Curitiba - PR;185;4;4;1;R$ 930.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-185m2-venda-RS930000-id-2549690183/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 279.700;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 155.000;R$ 296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
Apartamento com 4 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;4;4;2;R$ 780.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS780000-id-2546566617/
Apartamento com 2 Quartos à Venda, 74m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;74;2;2;2;R$ 312.000   Preço abaixo do mercado;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabral-bairros-curitiba-com-garagem-74m2-venda-RS312000-id-2553687591/
Apartamento com 2 Quartos à Venda, 244m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;244;2;3;2;R$ 1.400.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mossungue-bairros-curitiba-com-garagem-244m2-venda-RS1400000-id-2553093102/
Apartamento com 3 Quartos à Venda, 93m²;Rua Jeremias Maciel Perretto, 646 - Campo Comprido, Curitiba - PR;93;3;2;2;R$ 610.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com 3 Quartos à Venda, 107m²;Rua Marechal Deodoro, 228 - Centro, Curitiba - PR;107;3;2;--;R$ 300.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-107m2-venda-RS300000-id-2549436471/
Apartamento com 3 Quartos à Venda, 93m²;Rua Riachuelo, 300 - Centro, Curitiba - PR;93;3;3;1;R$ 280.000;R$ 926;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-93m2-venda-RS280000-id-2545469534/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000   Preço abaixo do mercado;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com  Quarto à Venda, 33m²;Rua Padre Giacomo Cusmano, 177 - Campina do Siqueira, Curitiba - PR;33;1;1;--;R$ 320.000;R$ 298;https://www.vivareal.com.br/imovel/apartamento-1-quartos-campina-do-siqueira-bairros-curitiba-33m2-venda-RS320000-id-2556513549/
Apartamento com 2 Quartos à Venda, 85m²;Rua José de Alencar, 442 - Alto da Rua XV, Curitiba - PR;85;2;2;1;R$ 650.000;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-85m2-venda-RS650000-id-2531888538/
Apartamento com 4 Quartos à Venda, 148m²;Avenida República Argentina, 394 - Água Verde, Curitiba - PR;148;4;4;2;R$ 856.500;R$ 850;https://www.vivareal.com.br/imovel/apartamento-4-quartos-agua-verde-bairros-curitiba-com-garagem-148m2-venda-RS856500-id-2556407531/
Apartamento com 2 Quartos à Venda, 78m²;Rua Guaianazes, 882 - Vila Izabel, Curitiba - PR;78;2;2;2;R$ 580.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
Apartamento com 3 Quartos à Venda, 66m²;Rua José Zaleski, 1240 - Neoville, Curitiba - PR;66;3;2;1;R$ 390.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-neoville-bairros-curitiba-com-garagem-66m2-venda-RS390000-id-2549069443/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tibagi, 404 - Centro, Curitiba - PR;56;2;1;1;R$ 300.000   Preço abaixo do mercado;R$ 625;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-56m2-venda-RS300000-id-2552814094/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 3 Quartos à Venda, 83m²;Avenida Cândido Hartmann, 3530 - Santo Inácio, Curitiba - PR;83;3;2;1;R$ 535.000;R$ 594;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-83m2-venda-RS535000-id-2552015831/
Apartamento com 3 Quartos à Venda, 102m²;Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR;102;3;3;2;R$ 650.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apartamento com 3 Quartos à Venda, 77m²;Rua João Batista Dallarmi, 221 - Santo Inácio, Curitiba - PR;77;3;2;2;R$ 719.000;R$ 490;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-77m2-venda-RS719000-id-2557723505/
Apartamento com 3 Quartos à Venda, 119m²;Rua Antônio Rodrigues, 120 - Seminário, Curitiba - PR;119;3;3;2;R$ 950.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-119m2-venda-RS950000-id-2555084739/
Apartamento com 3 Quartos à Venda, 63m²;Rua Padre Agostinho, 2026 - Bigorrilho, Curitiba - PR;63;3;2;1;R$ 375.000   Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS375000-id-2538270880/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 620.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS620000-id-2554527547/
Apartamento com  Quarto à Venda, 60m²;Rua Governador Agamenon Magalhães, 145 - Cristo Rei, Curitiba - PR;60;1;1;1;R$ 380.000;R$ 434;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cristo-rei-bairros-curitiba-com-garagem-60m2-venda-RS380000-id-2559024758/
Apartamento com 2 Quartos à Venda, 58m²;Rua Laudelino Ferreira Lopes, 385 - Novo Mundo, Curitiba - PR;58;2;2;1;R$ 359.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-58m2-venda-RS359900-id-2556294781/
Apartamento com 2 Quartos à Venda, 121m²;Rua Professor Dario Veloso, 36 - Vila Izabel, Curitiba - PR;121;2;3;2;R$ 1.100.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-121m2-venda-RS1100000-id-2515153879/
Apartamento com 2 Quartos à Venda, 59m²;Rua Alberto Potier, 456 - Boa Vista, Curitiba - PR;59;2;2;1;R$ 404.000   Preço abaixo do mercado;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento com 3 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;3;4;2;R$ 1.280.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1280000-id-2535740776/
MUV;Avenida Visconde de Guarapuava, 3070 - Centro, Curitiba - PR;20-36;1;1;--;A partir de   R$ 165.000;;https://www.vivareal.com.br/imoveis-lancamento/muv-2554906929/
Apartamento com 3 Quartos à Venda, 63m²;Rua Padre Agostinho, 2026 - Bigorrilho, Curitiba - PR;63;3;2;1;R$ 375.000   Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-63m2-venda-RS375000-id-2538270880/
Apartamento com 2 Quartos à Venda, 44m²;Rua Maria de Lourdes Kudri, 127 - Barreirinha, Curitiba - PR;44;2;1;--;R$ 140.000;R$ 312;https://www.vivareal.com.br/imovel/apartamento-2-quartos-barreirinha-bairros-curitiba-44m2-venda-RS140000-id-2556381814/
Apartamento com 3 Quartos à Venda, 94m²;Rua Monsenhor Manoel Vicente, 316 - Água Verde, Curitiba - PR;94;3;2;2;R$ 680.000   Preço abaixo do mercado;R$ 530;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-94m2-venda-RS680000-id-2540019474/
Apartamento com 3 Quartos à Venda, 58m²;Rua Oliveira Viana, 1100 - Hauer, Curitiba - PR;58;3;1;1;R$ 259.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-58m2-venda-RS259000-id-2548766956/
Apartamento com 4 Quartos à Venda, 216m²;Rua Lamenha Lins, 601 - Rebouças, Curitiba - PR;216;4;4;1;R$ 680.000   Preço abaixo do mercado;;https://www.vivareal.com.br/imovel/apartamento-4-quartos-reboucas-bairros-curitiba-com-garagem-216m2-venda-RS680000-id-2547201954/
Apartamento com 4 Quartos à Venda, 185m²;Rua Comendador Araújo, 80 - Centro, Curitiba - PR;185;4;4;1;R$ 930.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-185m2-venda-RS930000-id-2549690183/
Mont Tannat;Avenida Visconde de Guarapuava, 3116 - Centro, Curitiba - PR;32-72;1-2;1-2;1-3;R$ 279.700;;https://www.vivareal.com.br/imoveis-lancamento/mont-tannat-2535840602/
Apartamento com 2 Quartos à Venda, 70m²;Rua Poeta Francisco Ferreira Leite, 40 - Cristo Rei, Curitiba - PR;70;2;1;1;R$ 295.000;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 155.000;R$ 296;https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS155000-id-2507825183/
Apartamento com 4 Quartos à Venda, 169m²;Rua Campos Sales, 220 - Alto da Glória, Curitiba - PR;169;4;4;2;R$ 700.000   Preço abaixo do mercado;R$ 871;https://www.vivareal.com.br/imovel/apartamento-4-quartos-alto-da-gloria-bairros-curitiba-com-garagem-169m2-venda-RS700000-id-2501613689/
Apartamento com 4 Quartos à Venda, 156m²;Rua Francisco Rocha, 1777 - Champagnat, Curitiba - PR;156;4;4;2;R$ 780.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS780000-id-2546566617/
Apartamento com 2 Quartos à Venda, 74m²;Avenida Anita Garibaldi, 1576 - Cabral, Curitiba - PR;74;2;2;2;R$ 312.000   Preço abaixo do mercado;R$ 320;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabral-bairros-curitiba-com-garagem-74m2-venda-RS312000-id-2553687591/
Apartamento com 2 Quartos à Venda, 244m²;Rua Paulo Gorski, 1837 - Mossunguê, Curitiba - PR;244;2;3;2;R$ 1.400.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mossungue-bairros-curitiba-com-garagem-244m2-venda-RS1400000-id-2553093102/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com  Quarto à Venda, 22m²;Rua Doutor Faivre, 1044 - Centro, Curitiba - PR;22;1;1;--;R$ 180.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-22m2-venda-RS180000-id-2549093659/
Apartamento com 3 Quartos à Venda, 107m²;Rua Marechal Deodoro, 228 - Centro, Curitiba - PR;107;3;2;--;R$ 300.000;R$ 700;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-107m2-venda-RS300000-id-2549436471/
Apartamento com 3 Quartos à Venda, 93m²;Rua Riachuelo, 300 - Centro, Curitiba - PR;93;3;3;1;R$ 280.000;R$ 926;https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-93m2-venda-RS280000-id-2545469534/
Apartamento com  Quarto à Venda, 33m²;Rua Padre Giacomo Cusmano, 177 - Campina do Siqueira, Curitiba - PR;33;1;1;--;R$ 320.000;R$ 298;https://www.vivareal.com.br/imovel/apartamento-1-quartos-campina-do-siqueira-bairros-curitiba-33m2-venda-RS320000-id-2556513549/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;R$ 350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 3 Quartos à Venda, 102m²;Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR;102;3;3;2;R$ 650.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apartamento com 4 Quartos à Venda, 148m²;Avenida República Argentina, 394 - Água Verde, Curitiba - PR;148;4;4;2;R$ 856.500;R$ 850;https://www.vivareal.com.br/imovel/apartamento-4-quartos-agua-verde-bairros-curitiba-com-garagem-148m2-venda-RS856500-id-2556407531/
Apartamento com 3 Quartos à Venda, 66m²;Rua Professor Pedro Viriato Parigot de Souza - Cidade Industrial, Curitiba - PR;66;3;2;1;R$ 419.000;R$ 390;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-66m2-venda-RS419000-id-2556123230/
Apartamento com 3 Quartos à Venda, 66m²;Rua José Zaleski, 1240 - Neoville, Curitiba - PR;66;3;2;1;R$ 390.000;R$ 450;https://www.vivareal.com.br/imovel/apartamento-3-quartos-neoville-bairros-curitiba-com-garagem-66m2-venda-RS390000-id-2549069443/
Apartamento com 2 Quartos à Venda, 60m²;Rua Pedro Locatelli Júnior, 94 - Uberaba, Curitiba - PR;60;2;2;1;R$ 219.000   Preço abaixo do mercado;R$ 430;https://www.vivareal.com.br/imovel/apartamento-2-quartos-uberaba-bairros-curitiba-com-garagem-60m2-venda-RS219000-id-2544533265/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tibagi, 404 - Centro, Curitiba - PR;56;2;1;1;R$ 300.000   Preço abaixo do mercado;R$ 625;https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-curitiba-com-garagem-56m2-venda-RS300000-id-2552814094/
Apartamento com 2 Quartos à Venda, 44m²;Rua Juvenal Carvalho, 190 - Fazendinha, Curitiba - PR;44;2;1;1;R$ 185.500;R$ 395;https://www.vivareal.com.br/imovel/apartamento-2-quartos-fazendinha-bairros-curitiba-com-garagem-44m2-venda-RS185500-id-2531822386/
Apartamento com 3 Quartos à Venda, 119m²;Rua Antônio Rodrigues, 120 - Seminário, Curitiba - PR;119;3;3;2;R$ 950.000;R$ 650;https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-119m2-venda-RS950000-id-2555084739/
Apartamento com 2 Quartos à Venda, 65m²;Rua Doutor Alarico Vieira de Alencar, 307 - Bacacheri, Curitiba - PR;65;2;2;1;R$ 425.000;R$ 330;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-65m2-venda-RS425000-id-2540611673/
Apartamento com 3 Quartos à Venda, 93m²;Rua Jeremias Maciel Perretto, 646 - Campo Comprido, Curitiba - PR;93;3;2;2;R$ 610.000;R$ 600;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
Apartamento com 3 Quartos à Venda, 83m²;Avenida Cândido Hartmann, 3530 - Santo Inácio, Curitiba - PR;83;3;2;1;R$ 535.000;R$ 594;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-83m2-venda-RS535000-id-2552015831/
Apartamento com 2 Quartos à Venda, 105m²;Rua Engenheiro Niepce da Silva, 144 - Portão, Curitiba - PR;105;2;3;2;R$ 780.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-105m2-venda-RS780000-id-2539630890/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 620.000;R$ 500;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS620000-id-2554527547/
Apartamento com  Quarto à Venda, 60m²;Rua Governador Agamenon Magalhães, 145 - Cristo Rei, Curitiba - PR;60;1;1;1;R$ 380.000;R$ 434;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cristo-rei-bairros-curitiba-com-garagem-60m2-venda-RS380000-id-2559024758/
Apartamento com 2 Quartos à Venda, 58m²;Rua Laudelino Ferreira Lopes, 385 - Novo Mundo, Curitiba - PR;58;2;2;1;R$ 359.900;;https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-58m2-venda-RS359900-id-2556294781/
